english,kanji,on,kun
jlpt5-1,,,
one,一,,
two,二,,
three,三,,
four,四,,
five,五,,
six,六,,
seven,七,,
eight,八,,
nine,九,,
ten,十,,
hundred,百,,
thousand,千,,
ten thousand,万,,
1,一,,
2,二,,
3,三,,
4,四,,
5,五,,
6,六,,
7,七,,
8,八,,
9,九,,
10,十,,
100,百,,
1000,千,,
10.000,万,,
10000,万,,
"10,000",万,,
january,一月,,
february,二月,,
march,三月,,
april,四月,,
may,五月,,
june,六月,,
july,七月,,
august,八月,,
september,九月,,
october,十月,,
november,十一月,,
december,十二月,,
monday,月曜日,,
tuesday,火曜日,,
wednesday,水曜日,,
thursday,木曜日,,
friday,金曜日,,
staturday,土曜日,,
sunday,日曜日,,
jlpt5-2,,,
person,人,,
persons,人,,
people,人,,
humans,人,,
character,人,,
personality,人,,
adult,人,,
characters,人,,
personalities,人,,
adults,人,,
child,子,,
children,子,,
kid,子,,
kids,子,,
young,子,,
interest,子,,
nut,子,,
seed,子,,
interests,子,,
nuts,子,,
seeds,子,,
sun,日,,
day,日,,
suns,日,,
days,日,,
sunshine,日,,
sunlight,日,,
clear,日,,
month,月,,
months,月,,
moon,月,,
moons,月,,
fire,火,,
fires,火,,
flame,火,,
blaze,火,,
flames,火,,
blazes,火,,
water,水,,
waters,水,,
fluid,水,,
liquid,水,,
flood,水,,
fluids,水,,
liquids,水,,
floods,水,,
wood,木,,
tree,木,,
woods,木,,
trees,木,,
shrub,木,,
bush,木,,
timber,木,,
shrubs,木,,
bushes,木,,
timbers,木,,
myriad,万,,
everything,万,,
all,万,,
many,万,,
various,万,,
father,父,,
fathers,父,,
dad,父,,
daddy,父,,
dads,父,,
daddies,父,,
woman,女,,
women,女,,
female,女,,
females,女,,
girl,女,,
girls,女,,
girlfriend,女,,
mistress,女,,
daughter,女,,
girlfriends,女,,
mistresses,女,,
daughters,女,,
earth,土,,
ground,土,,
soil,土,,
dirt,土,,
clay,土,,
mud,土,,
land,土,,
dirts,土,,
clays,土,,
muds,土,,
lands,土,,
grounds,土,,
Turkey,土,,
root,本,,
book,本,,
main,本,,
origin,本,,
true,本,,
real,本,,
roots,本,,
books,本,,
origins,本,,
volume,本,,
script,本,,
regular,本,,
source,本,,
base,本,,
basis,本,,
foundation,本,,
ingredient,本,,
material,本,,
trunk,本,,
volumes,本,,
scripts,本,,
regulars,本,,
sources,本,,
bases,本,,
foundations,本,,
ingredients,本,,
materials,本,,
trunks,本,,
mother,母,,
mothers,母,,
mom,母,,
mum,母,,
moms,母,,
mums,母,,
friend,友,,
friends,友,,
companion,友,,
comrade,友,,
pal,友,,
complement,友,,
accessory,友,,
companions,友,,
comrades,友,,
pals,友,,
complements,友,,
accessories,友,,
buddy,友,,
buddies,友,,
male,男,,
males,男,,
man,男,,
men,男,,
boy,男,,
boys,男,,
guy,男,,
chap,男,,
bloke,男,,
boyfriend,男,,
manliness,男,,
manly,男,,
brave,男,,
heroic,男,,
greater,男,,
son,男,,
guys,男,,
chaps,男,,
blokes,男,,
boyfriends,男,,
braves,男,,
heroics,男,,
sons,男,,
metal,金,,
gold,金,,
money,金,,
metals,金,,
cash,金,,
vacation,休,,
vacations,休,,
sleep,休,,
sleeps,休,,
sleeping,休,,
slept,休,,
rest,休,,
rests,休,,
resting,休,,
rested,休,,
retire,休,,
retires,休,,
retired,休,,
retiring,休,,
break,休,,
breaks,休,,
